gene,q,q_TSG_20_20,q_TSG_TUSCON,score_iSTOP,score_TUSCON,score_20_20,TSG_iSTOP,TSG_TUSCON,TSG_20_20,TSG_CGC
SH2B3,0.027859137291729497,0.93078654214,1,1.5550323364132208,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
SLC9A4,1.8921675292640555e-4,0.946505905512,1,3.723040414544189,-0,0.02387667200840066,TRUE,FALSE,FALSE,FALSE
SMAD2,0.022467136390023994,0.108849557522,1.74394692943376e-5,1.6484522782379218,4.758466735346548,0.9631733320445162,FALSE,TRUE,FALSE,TRUE
SMAD3,0.015137756078921684,0.93078654214,1,1.8199384970134207,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
SMAD4,4.229116500496013e-30,0.0061224489796,4.73354011668675e-38,29.373750351073088,37.32481393789131,2.213074825308272,TRUE,TRUE,TRUE,TRUE
SMARCA4,3.634741727207351e-14,0.255897435897,9.80880555774031e-10,13.439526443246118,9.00838387450233,0.591934065739868,TRUE,TRUE,FALSE,FALSE
SMARCB1,1.4448743743433477e-19,0.0650602409638,6.29002825029018e-5,18.84016991131658,4.201347404011394,1.1866843325534753,TRUE,TRUE,TRUE,FALSE
SOCS1,0.026365044641602876,0.93078654214,1,1.578971488979383,-0,0.03114990462530433,FALSE,FALSE,FALSE,TRUE
SOX9,3.0508901723429573e-10,0.0654761904762,0.0124452262503097,9.51557342605275,1.9049972036461582,1.1839165965675746,TRUE,FALSE,TRUE,FALSE
STK11,5.197579395605817e-12,0.00294117647059,1.63332660740564e-20,11.284198867881988,19.786926963082553,2.5314789170419947,TRUE,TRUE,TRUE,TRUE
TBL1XR1,0.1809923128751532,0.14609375,0.00244207220484103,0.7423398701407476,2.6122414993999663,0.8353683631113694,FALSE,TRUE,FALSE,FALSE
TBX3,0.019812894287568692,0.158273381295,9.85515800477275e-7,1.703052077651473,6.006336408416417,0.8005921194317902,FALSE,TRUE,FALSE,TRUE
TCF12,0.06939065264049299,0.179503105591,0.00335788999229003,1.1586990278169402,2.4739335358703904,0.7459280332730327,FALSE,TRUE,FALSE,FALSE
TCF7L2,6.015548798534793e-5,0.115833333333,0.0051367506218198,4.220724745829853,2.2893115178256878,0.9361664457947795,TRUE,TRUE,FALSE,FALSE
TET1,0.30938536007730344,0.9346509672,1,0.5095002406950527,-0,0.029350540270624406,FALSE,FALSE,FALSE,TRUE
TET2,1.4507272898864082e-303,0.215168539326,9.85515800477275e-7,302.83841421928435,6.006336408416417,0.6672212283399538,TRUE,TRUE,FALSE,TRUE
TGFBR2,0.05207836211042633,0,1.07123457678511e-8,1.28334268299573,7.970115417825188,Inf,FALSE,TRUE,TRUE,TRUE
THRAP3,0.12383436155894183,0.346613545817,6.80820324272315e-4,0.9071588305596444,3.166967487900608,0.46015446886208516,FALSE,TRUE,FALSE,FALSE
THSD7B,4.50180029124792e-8,0.941231220228,1,7.346613775069128,-0,0.026303675899041843,TRUE,FALSE,FALSE,FALSE
